Id,title,description,link,price,brand,condition,image_link,gtin,shipping,product_type,google_product_category,color,size,mpn,"age group",gender,availability,c:druse:boolean,item_group_id
GM0210D,"Gypsyhead - Dogan Mehmet","Gypsyhead - Dogan Mehmet",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/225/s/gypsyhead-dogan-mehmet/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0210d.jpg,5051293010455,,simple,,,,,,,"In stock",,
GM0211D,"Me and the Metronome","Me and the Metronome",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/226/s/me-and-the-metronome/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0211d.jpg,5051293011797,,simple,,,,,,,"In stock",,
GM0212D,"Simple Folk - Chris Ricketts &","Simple Folk - Chris Ricketts &",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/227/s/simple-folk-chris-ricketts/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0212d.jpg,5051293011834,,simple,,,,,,,"In stock",,
GM0213D,"Outlandish - Dogan Mehmet","Outlandish - Dogan Mehmet",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/228/s/outlandish-dogan-mehmet/,11.63,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0213d.jpg,5051293013838,,simple,,,,,,,"In stock",,
GM0214D,"In The Shadow Of Stromboli","In The Shadow Of Stromboli",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/229/s/in-the-shadow-of-stromboli/,11.63,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0214d.jpg,5051293014422,,simple,,,,,,,"In stock",,
GM0215D,"Silver & Wood -Jacquelyn Hynes","Silver & Wood -Jacquelyn Hynes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/230/s/silver-wood-jacquelyn-hynes/,11.63,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0215d.jpg,5051293016334,,simple,,,,,,,"Out of stock",,
GM025D,"Hobgoblin 25th Anniversary CD","Hobgoblin 25th Anniversary CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/231/s/hobgoblin-25th-anniversary-cd/,8.33,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm025d.jpg,5051293000005,,simple,,,,,,,"In stock",,
GM026D,"Unlimited EP","Unlimited EP",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/232/s/unlimited-ep/,4.17,HOBRECORDS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm026d.jpg,5051293009411,,simple,,,,,,,"Out of stock",,
GM0320,"Northumbrian Minstrelsy","Northumbrian Minstrelsy",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/233/s/northumbrian-minstrelsy/,10.83,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0320.jpg,0,,simple,,,,,,,"In stock",,
GM0322,"A Book of British Ballads","A Book of British Ballads",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/234/s/a-book-of-british-ballads/,10.83,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0322.jpg,9781861430618,,simple,,,,,,,"In stock",,
GM0324,"Bushes and Briars","Bushes and Briars",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/235/s/bushes-and-briars/,10.42,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0324.jpg,9781861430724,,simple,,,,,,,"In stock",,
GM0326,"A Garland of Country Song","A Garland of Country Song",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/236/s/a-garland-of-country-song/,12.08,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0326.jpg,0,,simple,,,,,,,"Out of stock",,
GM0327,"Traditional Tunes, Frank Kidson","Traditional Tunes, Frank Kidson",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/237/s/traditional-tunes-frank-kidson/,8.75,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0327.jpg,0,,simple,,,,,,,"In stock",,
GM0351,"Marrow Bones","Marrow Bones",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/238/s/marrow-bones/,14.58,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0351.jpg,9780854182022,,simple,,,,,,,"In stock",,
GM0354,"Classic English Folk Songs","Classic English Folk Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/239/s/classic-english-folk-songs/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0354.jpg,9780854181889,,simple,,,,,,,"In stock",,
GM0371,"John O'Barbary","John O'Barbary",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/240/s/john-o-barbary/,8.29,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0371.jpg,5051293018345,,simple,,,,,,,"In stock",,
GM0441,"Vol1 Folksongs & Ballads Irlnd","Vol1 Folksongs & Ballads Irlnd",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/241/s/vol1-folksongs-ballads-irlnd/,4.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0441.jpg,9780946005000,,simple,,,,,,,"Out of stock",,
GM0442,"Vol2 Folksongs & Ballads Irlnd","Vol2 Folksongs & Ballads Irlnd",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/242/s/vol2-folksongs-ballads-irlnd/,4.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0442.jpg,9780946005017,,simple,,,,,,,"In stock",,
GM0443,"Vol3 Folksongs & Ballads Irlnd","Vol3 Folksongs & Ballads Irlnd",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/243/s/vol3-folksongs-ballads-irlnd/,4.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0443.jpg,9780946005024,,simple,,,,,,,"In stock",,
GM0444,"Vol4 Folksongs & Ballads Irlnd","Vol4 Folksongs & Ballads Irlnd",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/244/s/vol4-folksongs-ballads-irlnd/,4.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0444.jpg,9780946005338,,simple,,,,,,,"In stock",,
GM0451,"Vol1 The Very Best Irish Songs","Vol1 The Very Best Irish Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/245/s/vol1-the-very-best-irish-songs/,4.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0451.jpg,9781857200928,,simple,,,,,,,"In stock",,
GM0452,"Vol2 The Very Best Irish Songs","Vol2 The Very Best Irish Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/246/s/vol2-the-very-best-irish-songs/,4.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0452.jpg,9781857200935,,simple,,,,,,,"In stock",,
GM0453,"Vol3 The Very Best Irish Songs","Vol3 The Very Best Irish Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/247/s/vol3-the-very-best-irish-songs/,4.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0453.jpg,9781857200942,,simple,,,,,,,"In stock",,
GM0454,"Vol4 The Very Best Irish Songs","Vol4 The Very Best Irish Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/248/s/vol4-the-very-best-irish-songs/,4.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0454.jpg,9781857200959,,simple,,,,,,,"In stock",,
GM0461,"Vol 1, 100 Irish Ballads Bk&CD","Vol 1, 100 Irish Ballads Bk&CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/249/s/vol-1-100-irish-ballads-bk-cd/,7.92,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0461.jpg,9781857200966,,simple,,,,,,,"In stock",,
GM0465,"Waltons Irish Songbook Vol 2","Waltons Irish Songbook Vol 2",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/250/s/waltons-irish-songbook-vol-2/,8.29,WALTONS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0465.jpg,9781857201147,,simple,,,,,,,"In stock",,
GM0541,"Vol1 Folksongs & Ballads Scots","Vol1 Folksongs & Ballads Scots",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/251/s/vol1-folksongs-ballads-scots/,6.04,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0541.jpg,9780946005789,,simple,,,,,,,"In stock",,
GM0542,"Vol2 Folksongs & Ballads Scots","Vol2 Folksongs & Ballads Scots",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/252/s/vol2-folksongs-ballads-scots/,6.04,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0542.jpg,9780946005796,,simple,,,,,,,"In stock",,
GM0543,"Vol3 Folksongs & Ballads Scots","Vol3 Folksongs & Ballads Scots",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/253/s/vol3-folksongs-ballads-scots/,5,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0543.jpg,9780946005802,,simple,,,,,,,"In stock",,
GM0563,"100 Great Scottish Songs","100 Great Scottish Songs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/254/s/100-great-scottish-songs/,7.92,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0563.jpg,9781857201031,,simple,,,,,,,"In stock",,
GM0610,"Shanties of the Seven Seas","Shanties of the Seven Seas",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/255/s/shanties-of-the-seven-seas/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0610.jpg,9780913372708,,simple,,,,,,,"In stock",,
GM0710,"1000 English Country Dance","1000 English Country Dance",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/256/s/1000-english-country-dance/,20.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0710.jpg,0,,simple,,,,,,,"In stock",,
GM0715,"English Dance Music Vol 1","English Dance Music Vol 1",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/257/s/english-dance-music-vol-1/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0715.jpg,5051293018352,,simple,,,,,,,"Out of stock",,
GM0716,"English Dance Music Vol 2","English Dance Music Vol 2",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/258/s/english-dance-music-vol-2/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0716.jpg,5051293018369,,simple,,,,,,,"Out of stock",,
GM0720,"Nick Barber English Selection","Nick Barber English Selection",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/259/s/nick-barber-english-selection/,9.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0720.jpg,9781899512775,,simple,,,,,,,"In stock",,
GM0720C,"Nick Barber Grand Chain CD","Nick Barber Grand Chain CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/260/s/nick-barber-grand-chain-cd/,10.83,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0720c.jpg,880992147262,,simple,,,,,,,"In stock",,
GM0720D,"Nick Barber Oldham Rant CD","Nick Barber Oldham Rant CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/261/s/nick-barber-oldham-rant-cd/,10.83,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0720d.jpg,880992147361,,simple,,,,,,,"In stock",,
GM0721,"Cotswold Morris Book, Vol.1","Cotswold Morris Book, Vol.1",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/262/s/cotswold-morris-book-vol-1/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0721.jpg,9781899512027,,simple,,,,,,,"In stock",,
GM0721D,"Cotswold Morris Vol.1 CD","Cotswold Morris Vol.1 CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/263/s/cotswold-morris-vol-1-cd/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0721d.jpg,5034696100220,,simple,,,,,,,"In stock",,
GM0723,"Cotswold Morris Vol 2, book","Cotswold Morris Vol 2, book",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/264/s/cotswold-morris-vol-2-book/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0723.jpg,9781899512034,,simple,,,,,,,"In stock",,
GM0723D,"Cotswold Morris Vol 2, CD","Cotswold Morris Vol 2, CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/265/s/cotswold-morris-vol-2-cd/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0723d.jpg,5034696100237,,simple,,,,,,,"In stock",,
GM0725,"Northwest Morris Book","Northwest Morris Book",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/266/s/northwest-morris-book/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0725.jpg,9781899512041,,simple,,,,,,,"In stock",,
GM0725D,"Mally's NW Morris CD","Mally's NW Morris CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/267/s/mally-s-nw-morris-cd/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0725d.jpg,0,,simple,,,,,,,"In stock",,
GM0726,"Nick Barber's English Choice","Nick Barber's English Choice",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/268/s/nick-barber-s-english-choice/,9.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0726.jpg,9781899512614,,simple,,,,,,,"In stock",,
GM0726D,"Nick Barber's Lovely Nancy CD","Nick Barber's Lovely Nancy CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/269/s/nick-barber-s-lovely-nancy-cd/,11.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0726d.jpg,5031200639023,,simple,,,,,,,"In stock",,
GM0727D,"Nick Barber's Bonny Kate CD","Nick Barber's Bonny Kate CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/270/s/nick-barber-s-bonny-kate-cd/,11.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0727d.jpg,5031200539026,,simple,,,,,,,"In stock",,
GM0728,"Easy Peasy Tunes by Mally","Easy Peasy Tunes by Mally",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/271/s/easy-peasy-tunes-by-mally/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0728.jpg,9781899512638,,simple,,,,,,,"In stock",,
GM0728D,"Easy Peasy Tunes CD by Mally","Easy Peasy Tunes CD by Mally",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/272/s/easy-peasy-tunes-cd-by-mally/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0728d.jpg,5031200002018,,simple,,,,,,,"In stock",,
GM0729,"English Choice by Kirkpatrick","English Choice by Kirkpatrick",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/273/s/english-choice-by-kirkpatrick/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0729.jpg,9781899512621,,simple,,,,,,,"In stock",,
GM0729D,"Orlando's Return","Orlando's Return",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/274/s/orlando-s-return/,11.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0729d.jpg,5031200739020,,simple,,,,,,,"In stock",,
GM0730D,"Garrick's Delight, Eng Choice","Garrick's Delight, Eng Choice",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/275/s/garrick-s-delight-eng-choice/,11.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0730d.jpg,5031200839027,,simple,,,,,,,"In stock",,
GM0731,"English Country Dance Tunes","English Country Dance Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/276/s/english-country-dance-tunes/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0731.jpg,9781899512645,,simple,,,,,,,"In stock",,
GM0731D,"English Country Dance CD","English Country Dance CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/277/s/english-country-dance-cd/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0731d.jpg,880992149129,,simple,,,,,,,"In stock",,
GM0732,"English Pub Session Tunes","English Pub Session Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/278/s/english-pub-session-tunes/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0732.jpg,9781899512652,,simple,,,,,,,"In stock",,
GM0732D,"English Pub Session CD","English Pub Session CD",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/279/s/english-pub-session-cd/,10.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0732d.jpg,880992149228,,simple,,,,,,,"In stock",,
GM0733,"Popular English Session Tunes","Popular English Session Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/280/s/popular-english-session-tunes/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0733.jpg,9781899512669,,simple,,,,,,,"In stock",,
GM0756,"Hardcore English Tune Book","Hardcore English Tune Book",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/281/s/hardcore-english-tune-book/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0756.jpg,9780854182015,,simple,,,,,,,"In stock",,
GM0784,"Airs for Pairs by Matt Seattle","Airs for Pairs by Matt Seattle",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/282/s/airs-for-pairs-by-matt-seattle/,6.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0784.jpg,9781899512706,,simple,,,,,,,"In stock",,
GM0785,"More Airs for Pairs","More Airs for Pairs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/283/s/more-airs-for-pairs/,5.79,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0785.jpg,9781899512713,,simple,,,,,,,"Out of stock",,
GM0786,"Hampshire Dance Tunes","Hampshire Dance Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/284/s/hampshire-dance-tunes/,7.46,HOBBOOKS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0786.jpg,9780955408205,,simple,,,,,,,"In stock",,
GM0788,"Chippindales Cheery Chunes","Chippindales Cheery Chunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/285/s/chippindales-cheery-chunes/,4.13,HOBBOOKS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0788.jpg,9780955408229,,simple,,,,,,,"In stock",,
GM0803,"Traditional Slow Airs, Ireland","Traditional Slow Airs, Ireland",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/286/s/traditional-slow-airs-ireland/,18.29,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0803.jpg,9781900428620,,simple,,,,,,,"In stock",,
GM0850,"100 Irish Polkas - Mallinson","100 Irish Polkas - Mallinson",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/287/s/100-irish-polkas-mallinson/,6.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0850.jpg,5051293018390,,simple,,,,,,,"In stock",,
GM0851,"101 Easy Irish Session Tunes","101 Easy Irish Session Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/288/s/101-easy-irish-session-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0851.jpg,9781899512782,,simple,,,,,,,"In stock",,
GM0852,"100 Popular Irish Session Tune","100 Popular Irish Session Tune",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/289/s/100-popular-irish-session-tune/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0852.jpg,9781899512232,,simple,,,,,,,"In stock",,
GM0853,"100 Essential Irish Sess.tunes","100 Essential Irish Sess.tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/290/s/100-essential-irish-sess-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0853.jpg,9781899512188,,simple,,,,,,,"In stock",,
GM0854,"100 Enduring Irish Sessn.tunes","100 Enduring Irish Sessn.tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/291/s/100-enduring-irish-sessn-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0854.jpg,9781899512195,,simple,,,,,,,"In stock",,
GM0855,"100 Evergreen Irish Ses. Tunes","100 Evergreen Irish Ses. Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/292/s/100-evergreen-irish-ses-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0855.jpg,9781899512201,,simple,,,,,,,"In stock",,
GM0856,"100 Vital Irish Session Tunes","100 Vital Irish Session Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/293/s/100-vital-irish-session-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0856.jpg,9781899512225,,simple,,,,,,,"In stock",,
GM0861,"O'Neills Music of Ireland","O'Neills Music of Ireland",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/294/s/o-neills-music-of-ireland/,11.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0861.jpg,9781857200270,,simple,,,,,,,"In stock",,
GM0862,"Ireland's Best Session Tunes","Ireland's Best Session Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/295/s/ireland-s-best-session-tunes/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0862.jpg,9781857201079,,simple,,,,,,,"In stock",,
GM0863,"Ireland's Best Slow Airs","Ireland's Best Slow Airs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/296/s/ireland-s-best-slow-airs/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0863.jpg,9781857200829,,simple,,,,,,,"In stock",,
GM0866,"Ireland's Best Whistle Tunes","Ireland's Best Whistle Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/297/s/ireland-s-best-whistle-tunes/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0866.jpg,9781857200843,,simple,,,,,,,"In stock",,
GM0867,"Ireland's Best O'Carolan Tunes","Ireland's Best O'Carolan Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/298/s/ireland-s-best-o-carolan-tunes/,16.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0867.jpg,9781857202045,,simple,,,,,,,"In stock",,
GM0928,"Two Hundred & Fifty Welsh Airs","Two Hundred & Fifty Welsh Airs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/299/s/two-hundred-fifty-welsh-airs/,6.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0928.jpg,0,,simple,,,,,,,"In stock",,
GM0931,"Blodau'r Grug","Blodau'r Grug",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/300/s/blodau-r-grug/,9.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0931.jpg,0,,simple,,,,,,,"In stock",,
GM0932,"Cadw Twmpath","Cadw Twmpath",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/301/s/cadw-twmpath/,9.96,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0932.jpg,0,,simple,,,,,,,"In stock",,
GM0952,"110 Best Scottish Tunes Vol 1","110 Best Scottish Tunes Vol 1",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/302/s/110-best-scottish-tunes-vol-1/,16.63,WALTONS,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0952.jpg,9781857201864,,simple,,,,,,,"In stock",,
GM0953,"100 Essential Scottish Tunes","100 Essential Scottish Tunes",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/303/s/100-essential-scottish-tunes/,9.13,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0953.jpg,9781899512744,,simple,,,,,,,"In stock",,
GM0964,"Dansons La Morvandelle, 2nd Ed","Dansons La Morvandelle, 2nd Ed",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/304/s/dansons-la-morvandelle-2nd-ed/,7.46,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0964.jpg,9781899512959,,simple,,,,,,,"In stock",,
GM0984,"Scottish Airs for Pairs","Scottish Airs for Pairs",https://www.woodys-music.co.uk/index.php/catalog/product/view/id/305/s/scottish-airs-for-pairs/,6.63,,New,http://www.woodys-music.co.uk/media/catalog/product/g/m/gm0984.jpg,9781899512720,,simple,,,,,,,"In stock",,
